magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
6.6,5,7,1,820,0,1.064,14,35,-31.7275,-71.3792
6.7,5,7,0,718,0,0.853,35,23,-31.5173,-71.804
6.5,6,7,0,657,0,0.749,62,27,-31.4244,-71.6876
7,8,7,0,799,0,0.903,13,28.41,-31.5622,-71.4262
8.3,9,8,1,1960,0,0.684,19,22.44,-31.5729,-71.6744
6.7,5,5,1,708,0,1.256,123,10,24.913,-109.623
6.5,0,5,1,650,0,2.045,16,6.43,-9.3293,157.877
6.6,3,5,1,671,0,1.872,20,22,-9.3438,158.053
7,9,7,1,762,0,6.278,12,48,-2.6286,138.528
6.9,4,7,1,734,0,0.444,39,29,52.376,-169.446
7,8,6,1,759,0,5.205,22,11,-10.4012,165.141
6.5,4,4,1,686,0,1.218,20,20,13.8672,-58.5479
6.7,4,5,1,691,0,1.529,11,12,-9.307,158.403
6.5,3,4,0,652,0,2.277,11,460,27.7375,139.725
7.8,6,3,1,1151,0,1.675,12,664,27.8386,140.493
6.8,5,6,1,762,0,0,0,72.6,56.594,-156.43
6.8,1,5,1,711,0,3.619,18,10,-11.1093,163.215
6.9,1,4,1,732,0,4.024,22,11.19,-11.0559,163.696
6.8,1,4,1,711,0,4.395,15,11,-10.8759,164.169
6.8,8,6,1,831,0,1.422,8,35,38.9056,142.032
7.3,8,7,0,1563,0,0.677,11,15,27.8087,86.0655
7.1,1,6,1,776,0,3.835,11,10,-7.2175,154.557
7.5,7,8,1,869,0,1.295,22,55,-5.4624,151.875
6.8,5,6,1,714,0,1.074,23,44,-5.2005,151.777
6.7,5,6,1,692,0,1.239,12,31,-5.375,151.771
6.7,7,7,0,1016,0,0.727,13,22.91,27.7711,86.0173
6.6,8,7,0,733,0,1.778,16,10,28.2244,84.8216
7.8,8,9,0,2820,0,1.857,12,8.22,28.2305,84.7314
6.5,0,5,1,650,0,3.702,42,10,-15.8815,-178.6
6.5,2,5,1,650,0,4.629,36,11,-15.4994,-173.029
7.5,6,7,1,872,0,0.666,19,41,-4.7294,152.562
7,4,6,0,760,0,1.362,12,552.06,-7.2968,122.535
6.7,5,5,1,714,0,1.925,20,23,39.8558,142.881
6.7,4,6,1,700,0,2.11,16,223,-23.1125,-66.688
6.8,1,4,1,711,0,2.019,13,219.96,-17.0309,168.52
6.5,1,4,1,650,0,4.318,61,8,5.9045,-82.6576
6.6,7,6,1,709,0,2.485,43,20,7.9401,-82.6865
6.6,1,5,1,670,0,3.246,12,23,-6.5108,154.46
6.6,1,3,0,670,0,2.6,9,614,6.1572,123.126
6.8,6,5,1,713,0,1.421,19,39,1.9604,126.575
6.5,5,5,1,652,0,1.549,9,35,2.2999,127.056
6.7,7,4,1,698,0,1.079,25,22,-37.6478,179.662
7.1,4,6,1,779,0,1.397,18,45,1.8929,126.522
6.6,2,6,1,671,0,3.557,13,53.19,-5.9873,148.232
7.1,3,6,1,776,0,4.415,13,434,-19.6903,-177.759
7.3,8,6,1,982,0,1.078,18,40,12.5262,-88.1225
6.7,5,5,1,724,0,0.46,11,130,13.7641,144.429
6.8,6,6,1,741,0,4.107,18,101,-14.598,-73.5714
6.9,0,4,1,732,0,6.393,12,13,0.8295,146.169
6.9,0,6,1,732,0,3.934,15,615.42,-19.8015,-178.4
6.5,5,4,1,706,0,2.421,9,20,37.0052,142.452
6.9,8,7,1,1079,0,0.263,51,53,14.724,-92.4614
6.5,0,4,1,650,0,2.124,15,20,-6.2304,152.807
6.7,0,5,1,691,0,6.713,45,18,-14.9831,-175.51
6.9,0,5,1,732,0,4.838,25,8,-55.4703,-28.3669
7.9,6,8,1,963,0,0.133,22,109,51.8486,178.735
6.7,0,5,0,691,0,0.748,43,26.59,-29.9414,-177.607
6.5,0,5,0,650,0,0.778,30,10,-29.9379,-177.516
6.9,0,5,1,732,0,0.751,35,20,-29.9772,-177.725
6.9,9,7,0,951,0,0.402,25,6.43,40.2893,25.3889
6.5,7,5,1,694,0,3.121,33,10,7.2096,-82.3045
6.6,0,5,1,670,0,3.34,10,106,-21.4542,170.355
6.5,4,6,1,838,0,0,0,10,49.6388,-127.732
7.5,0,6,1,865,0,3.82,16,43.37,-6.7547,155.024
6.6,0,6,1,670,0,3.803,11,29,-6.6558,155.087
7.2,8,7,1,1017,0,2.25,46,24,17.397,-100.972
6.6,0,6,0,670,0,2.666,22,10,-11.1284,162.052
7.4,0,6,1,842,0,2.885,17,39,-11.4633,162.051
7.6,0,7,1,889,0,2.828,13,22.56,-11.2701,162.148
6.6,6,5,1,677,0,0.761,20,135,11.642,-85.8779
6.5,0,6,1,650,0,3.787,16,20,-6.7878,154.95
7.1,0,7,1,776,0,3.729,21,60.53,-6.5858,155.048
7.7,8,9,1,1057,0,1.029,44,22.4,-20.5709,-70.4931
6.5,7,7,0,670,0,0.828,82,24.07,-20.3113,-70.5756
6.9,0,5,0,732,0,0.828,119,28.42,-19.8927,-70.9455
8.2,9,8,1,1332,0,0.609,23,25,-19.6097,-70.7691
6.7,7,7,1,718,0,1.008,44,20,-19.9807,-70.7022
6.8,5,5,1,1211,112,0.6568,229,16.441,40.8287,-125.134
6.5,4,5,1,668,0,1.001,17,119,27.4312,127.367
6.5,5,4,1,681,0,1.635,30,14.83,14.6682,-58.9272
